index,lon,lat,age,plate_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
42,-115.48,39.22,11,101,-113.47,41.1,0.1,390.0,-119.68,37.68,-4.4,-98.93,2.61,-177.92,0.17,43.88,901.0,101.0,0.09,0.09,-0.68,-4.35,-2.6,-0.09,5.53,-126.47,-3.29,-4.45,14.46,0.0,40.45,803.39,1.56
43,-116.68,40.6,16,101,-113.51,43.28,0.11,380.0,-120.27,39.95,4.14,-15.25,2.59,171.26,0.18,54.35,903.0,101.0,2.04,2.04,3.99,-1.09,-2.56,0.39,-1.59,-26.15,1.43,-0.7,8.32,0.02,32.68,692.79,1.43
44,-116.79,37.01,10,101,-115.04,38.74,0.07,389.0,-119.86,37.52,4.49,-89.47,2.42,176.44,0.17,43.84,901.0,101.0,0.09,0.09,0.04,-4.49,-2.42,0.15,4.96,-118.67,-2.38,-4.35,14.55,0.0,41.04,857.56,1.56
45,-116.8,41.24,16,101,-113.61,43.92,0.11,376.0,-120.83,40.54,4.16,-15.15,2.58,171.23,0.18,53.99,903.0,101.0,2.77,2.77,4.02,-1.09,-2.55,0.39,-1.62,-25.57,1.46,-0.7,8.61,0.02,32.68,692.79,1.44
46,-117.04,40.61,86,101,-88.99,47.29,0.11,430.0,-97.08,44.32,14.33,-1.95,4.99,-125.14,0.19,59.85,902.0,101.0,28.31,28.31,14.32,-0.49,-2.87,-4.08,-12.32,-21.77,11.44,-4.57,73.95,0.26,34.67,117.73,2.51
47,-117.08,38.7,27,101,-111.19,42.59,0.08,302.0,-116.55,40.03,11.36,10.65,2.36,-169.39,0.19,55.07,903.0,101.0,3.42,3.42,11.16,2.1,-2.32,-0.43,-9.0,10.82,8.84,1.69,11.08,0.08,21.63,423.57,1.67
48,-117.08,40.69,38,101,-107.74,45.16,0.11,338.0,-114.93,41.46,10.62,7.33,2.76,-149.65,0.19,51.91,903.0,101.0,28.76,29.98,10.54,1.36,-2.38,-1.4,-8.14,-0.11,8.14,-0.01,25.93,0.12,11.03,277.62,1.93
49,-117.12,40.56,38,101,-107.8,45.03,0.11,338.0,-114.93,41.46,10.62,7.33,2.76,-149.65,0.19,51.91,903.0,101.0,28.76,29.98,10.54,1.36,-2.38,-1.4,-8.14,-0.11,8.14,-0.01,25.93,0.12,11.03,277.62,1.93
50,-117.22,40.42,89,101,-87.56,46.45,0.11,433.0,-95.26,43.57,14.14,-3.53,5.0,-124.25,0.19,61.07,902.0,101.0,28.12,28.12,14.12,-0.87,-2.81,-4.13,-12.36,-23.86,11.3,-5.0,79.09,0.27,47.15,114.86,2.15
51,-117.37,49.88,183,101,-53.93,38.0,0.1,627.0,-60.79,40.59,8.82,4.85,6.88,-105.8,0.19,115.13,902.0,101.0,0.09,25.18,8.79,0.75,-1.87,-6.62,-9.08,-40.41,6.91,-5.89,50.84,0.14,1.26,165.14,2.51
52,-117.5,38.33,207,101,-57.42,15.56,0.07,815.0,-61.51,14.39,8.47,54.15,-4.16,-80.13,0.2,73.32,131.0,101.0,8.28,8.28,4.96,6.87,0.71,-4.1,-6.3,26.23,5.65,2.78,35.35,0.07,2.68,191.37,2.39
54,-118.6,49.0,200,101,-54.02,28.46,0.09,994.0,-59.37,30.77,8.46,8.21,4.62,-139.04,0.2,117.31,131.0,101.0,0.1,24.15,8.37,1.21,-3.49,-3.03,-5.2,-20.18,4.88,-1.79,43.73,0.13,0.0,172.12,2.46
55,-119.24,39.05,161,101,-63.64,29.1,0.06,423.0,-67.56,28.19,10.83,-0.11,3.27,-168.93,0.19,73.84,902.0,101.0,11.8,13.79,10.83,-0.02,-3.21,-0.63,-7.64,-5.18,7.61,-0.69,87.19,0.21,16.54,279.7,2.69
56,-119.27,38.96,169,101,-61.73,31.01,0.06,420.0,-65.56,29.87,12.51,-18.85,4.8,126.86,0.19,71.78,902.0,101.0,11.63,11.63,11.84,-4.04,-2.88,3.84,-8.96,-1.48,8.96,-0.23,87.83,0.23,10.62,467.04,2.82
57,-120.01,49.88,143,101,-60.3,44.16,0.09,599.0,-67.31,44.19,1.92,39.74,-4.49,-49.87,0.12,63.61,902.0,16111.0,0.06,0.06,1.47,1.23,2.89,-3.43,-4.89,-26.89,4.36,-2.21,63.26,0.02,6.26,167.06,2.56
58,-120.11,38.0,147,101,-67.82,32.33,0.04,463.0,-70.42,31.47,2.79,33.26,-4.22,-83.24,0.2,71.85,902.0,101.0,12.08,12.41,2.33,1.53,0.5,-4.19,-3.88,-43.3,2.83,-2.66,91.89,0.05,12.86,156.68,2.69
59,-120.11,38.0,136,101,-68.51,35.1,0.05,232.0,-71.92,34.37,7.41,-15.61,2.87,-150.49,0.19,74.37,902.0,101.0,24.34,24.34,7.14,-1.99,-2.5,-1.41,-5.76,-36.17,4.65,-3.4,98.68,0.14,17.68,172.71,2.72
60,-120.85,40.2,100,101,-85.66,44.17,0.06,326.0,-90.69,43.57,9.85,-14.04,5.0,-135.52,0.19,78.86,902.0,101.0,27.42,30.79,9.56,-2.39,-3.57,-3.5,-8.38,-44.51,5.98,-5.88,77.53,0.18,47.03,111.92,2.39
61,-120.98,48.2,21,101,-116.56,51.67,0.06,291.0,-122.33,50.91,6.55,-29.12,2.14,165.25,0.19,75.21,903.0,101.0,1.87,13.72,5.72,-3.19,-2.07,0.54,-4.5,-35.64,3.66,-2.62,14.43,0.05,35.43,1175.02,1.67
62,-121.0,50.49,200,101,-54.9,30.47,0.07,1002.0,-59.27,31.14,8.45,27.25,4.64,-120.3,0.19,98.34,131.0,101.0,0.28,0.28,7.52,3.87,-2.34,-4.0,-5.16,-1.19,5.16,-0.11,43.73,0.11,0.0,172.12,2.46
64,-121.42,50.92,61,101,-105.69,57.96,0.06,319.0,-111.43,56.31,11.91,9.01,3.98,-170.81,0.19,46.12,902.0,101.0,16.63,41.58,11.76,1.86,-3.93,-0.64,-7.93,8.87,7.83,1.22,3.67,0.05,-0.0,232.54,1.4
66,-121.58,52.5,202,101,-53.9,31.59,0.07,1024.0,-58.52,32.42,8.42,27.38,4.71,-121.78,0.19,99.47,131.0,101.0,2.37,2.37,7.47,3.87,-2.48,-4.01,-4.97,-1.27,4.97,-0.11,44.0,0.11,0.0,172.77,2.46
67,-121.64,47.68,18,101,-118.06,50.74,0.05,320.0,-122.85,50.21,4.4,-36.72,2.45,145.21,0.18,76.21,903.0,101.0,4.56,12.59,3.53,-2.63,-2.01,1.4,-1.96,-39.34,1.51,-1.24,9.29,0.02,36.2,1068.36,1.46
