subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
20.9,-135.49,14.1,11.96,2.85,-9.41,25.62,266.51,1
21.51,-135.9,15.31,12.41,2.83,-9.84,21.06,320.76,1
18.89,-117.65,7.42,12.41,2.99,-10.45,43.08,494.27,1
-16.41,-96.34,-29.12,16.54,3.88,-17.62,33.53,1470.93,1
10.48,-161.73,8.67,12.74,2.47,-10.29,5.69,460.34,1
26.25,-145.26,23.81,10.7,2.45,-8.28,4.1,547.68,1
-38.2,145.46,-39.94,12.41,4.04,-8.39,11.92,212.64,1
-45.49,145.03,-46.69,9.59,0.92,-8.68,11.33,252.13,1
-52.31,150.98,-54.78,24.57,2.43,-22.35,9.31,461.56,1
-14.17,149.7,-5.57,7.34,2.61,-4.89,0.73,284.09,1
58.72,-60.92,31.14,9.93,-4.59,-8.6,50.19,924.2,1
52.13,-62.07,29.76,11.93,-4.53,-10.87,39.85,996.51,1
38.78,-112.05,27.99,11.67,3.38,-8.87,28.12,1142.26,1
24.81,-98.16,23.44,9.61,0.25,-9.48,40.61,1349.43,1
-75.59,134.33,-77.17,9.65,0.48,-9.24,57.54,498.0,1
-101.33,106.62,-104.28,-24.61,2.46,22.45,13.4,290.73,1
46.16,-108.77,45.36,9.53,0.27,-9.28,46.73,1355.83,1
5.49,-144.74,2.45,23.56,2.3,-21.58,27.46,290.73,1
46.28,-102.79,45.36,9.51,0.26,-9.28,45.95,1355.83,1
5.55,-144.39,2.48,23.31,2.28,-21.35,28.78,290.73,1
46.31,-101.25,45.36,9.5,0.26,-9.28,45.21,1355.83,1
5.59,-144.15,2.5,23.14,2.26,-21.2,30.08,290.73,1
46.41,-96.52,45.36,9.49,0.26,-9.28,45.83,1355.83,1
5.63,-143.91,2.51,22.97,2.25,-21.04,31.02,290.73,1
46.34,-99.69,45.35,9.5,0.26,-9.28,45.83,1355.83,1
5.61,-144.03,2.5,23.06,2.26,-21.12,31.37,290.73,1
27.89,-104.07,26.63,9.45,0.25,-9.28,44.03,1355.83,1
5.76,-143.15,2.57,22.46,2.21,-20.58,48.77,290.73,1
18.79,172.84,24.22,16.17,2.97,-13.55,48.28,161.83,1
-16.88,147.4,-10.45,10.65,3.15,-7.67,37.08,262.32,1
17.22,-138.23,8.63,13.71,3.74,-10.43,57.31,127.87,1
11.21,-162.61,7.99,12.26,4.22,-8.08,55.12,135.39,1
5.58,-163.53,-3.14,9.38,4.22,-5.3,51.31,138.01,1
27.24,-120.08,-1.22,8.46,4.63,-5.18,43.88,173.33,1
8.63,-122.25,-88.73,3.21,5.71,-4.33,46.17,166.73,1
8.69,-123.16,-90.08,3.18,5.72,4.28,48.46,160.08,1
5.73,-84.19,-66.91,1.43,-4.55,-4.77,92.72,160.37,1
-29.19,-168.37,-54.85,7.82,3.7,-5.57,104.65,162.44,1
-19.41,-172.38,-26.76,14.78,3.38,-11.87,101.48,162.99,1
50.29,-41.28,-25.19,1.32,-4.57,-4.72,93.38,159.58,1
-46.63,174.05,-73.13,7.8,3.78,-5.51,104.68,161.07,1
-36.56,170.02,-44.06,14.91,3.5,-11.88,101.32,160.75,1
-62.05,160.51,-77.9,11.26,3.58,-8.98,72.42,1394.37,1
-80.23,159.08,-93.02,15.34,3.55,13.87,3.04,1307.62,1
-86.85,173.6,-101.26,18.75,4.65,18.55,0.95,1345.89,1
-48.43,173.98,-64.19,11.28,3.58,-9.0,72.42,1394.37,1
-66.73,172.54,-79.5,15.34,3.55,-13.87,3.04,1307.62,1
-73.41,-172.91,-87.79,18.75,4.64,-18.55,0.95,1345.89,1
-48.43,173.98,-64.19,11.28,3.58,-9.0,72.42,1394.37,1
-66.73,172.54,-79.5,15.34,3.55,-13.87,3.04,1307.62,1
-73.41,-172.91,-87.79,18.75,4.64,-18.55,0.95,1345.89,1
-62.67,160.59,-78.84,11.2,3.6,-8.95,2.64,1394.37,1
