subducting convergence velocity obliquity angle,trench absolute velocity obliquity angle,subducting plate absolute velocity obliquity angle,subducting convergence velocity magnitude,trench absolute velocity magnitude,subducting plate absolute velocity magnitude,sea floor age,sediment thickness,Label
-36.42,-61.41,-53.53,1.59,-3.35,-4.84,70.22,166.38,0
-51.35,-55.53,-53.16,2.81,-2.02,-4.83,64.44,165.34,0
-41.45,-72.72,-56.54,2.36,-2.19,-4.38,62.66,165.09,0
-19.35,-92.01,-63.23,1.9,2.73,-3.76,60.53,166.47,0
-18.74,-91.92,-62.87,1.91,2.73,-3.75,98.46,166.29,0
-18.17,-91.81,-62.56,1.91,2.73,-3.74,98.08,165.44,0
-16.65,-178.13,-19.98,10.7,1.63,-9.17,97.67,168.18,0
-16.49,-178.35,-19.78,10.71,1.64,-9.17,97.82,166.86,0
-16.35,-178.56,-19.58,10.72,1.64,-9.17,97.73,168.24,0
-16.19,-178.77,-19.38,10.73,1.65,-9.17,97.38,164.74,0
4.0,-93.09,-19.18,7.7,3.12,-7.94,98.07,164.47,0
24.81,-73.68,1.79,7.78,-3.11,-7.94,97.76,167.56,0
25.17,-74.16,2.25,7.83,-3.1,-7.94,97.5,166.19,0
29.13,-85.08,2.71,8.7,-3.84,-7.94,97.15,166.45,0
29.4,-85.57,3.19,8.76,-3.83,-7.94,96.9,166.72,0
29.72,-85.8,3.68,8.8,-3.83,-7.94,97.33,162.73,0
2.11,173.65,4.16,10.11,2.21,-7.94,96.99,159.12,0
2.63,174.11,4.75,10.16,2.26,-7.94,96.2,169.98,0
3.15,174.61,5.35,10.23,2.33,-7.94,95.9,158.68,0
3.66,175.05,5.94,10.28,2.38,-7.94,95.63,310.7,0
-2.74,151.62,6.53,10.56,3.04,-7.94,94.81,318.78,0
-16.72,127.2,7.03,11.67,5.46,-7.94,90.77,323.07,0
-16.52,127.28,7.32,11.67,5.47,-7.94,86.18,164.91,0
-16.33,127.37,7.61,11.66,5.47,-7.94,80.91,165.92,0
-13.66,127.54,7.95,12.88,5.48,-9.27,72.5,162.66,0
-13.46,127.63,8.23,12.88,5.49,-9.27,67.33,163.3,0
17.94,-110.66,8.51,10.36,1.94,-9.27,63.79,7115.28,0
17.97,-110.61,8.53,10.36,1.94,-9.27,60.92,7137.92,0
18.0,-110.55,8.55,10.36,1.94,-9.27,58.59,163.75,0
18.03,-110.5,8.57,10.36,1.94,-9.27,56.68,161.99,0
18.05,-110.44,8.6,10.35,1.94,-9.27,54.66,163.38,0
18.08,-110.39,8.62,10.35,1.94,-9.27,53.52,163.25,0
18.11,-110.33,8.64,10.35,1.94,-9.27,52.24,163.1,0
18.14,-110.28,8.67,10.35,1.94,-9.27,51.11,162.97,0
18.17,-110.22,8.69,10.35,1.94,-9.27,49.99,162.87,0
18.2,-110.16,8.71,10.35,1.95,-9.27,48.82,162.77,0
0.0,9.1,9.1,0.0,-9.13,-9.13,47.69,162.7,0
9.9,-100.24,-35.36,8.79,6.88,-9.11,47.45,162.52,0
48.56,-176.77,118.59,8.77,9.12,6.89,46.4,162.34,0
38.19,172.8,107.94,8.79,9.11,6.9,48.05,162.17,0
38.29,172.8,107.83,8.81,9.1,6.92,51.85,166.39,0
38.39,172.79,107.67,8.82,9.09,6.93,52.84,241.17,0
38.5,172.78,107.58,8.83,9.09,6.95,53.12,214.82,0
38.6,172.77,107.46,8.84,9.08,6.97,52.36,233.02,0
38.72,172.77,107.4,8.85,9.07,6.99,52.25,229.91,0
38.83,172.76,107.31,8.85,9.06,7.0,63.29,162.24,0
24.04,177.1,72.79,11.81,9.17,-5.55,58.41,215.54,0
9.46,-124.28,-95.29,2.93,5.78,4.29,49.12,213.54,0
9.46,-124.11,-95.1,2.93,5.78,4.3,48.51,160.08,0
9.46,-123.95,-94.91,2.93,5.78,4.3,48.57,152.68,0
9.39,-123.7,-94.27,2.95,5.77,4.31,47.68,154.99,0
9.39,-123.54,-94.08,2.95,5.77,4.32,47.42,161.9,0
9.46,-123.46,-94.34,2.93,5.78,4.33,48.19,165.4,0
9.46,-123.3,-94.15,2.93,5.78,4.34,47.57,166.73,0
9.46,-123.13,-93.96,2.93,5.78,4.34,47.35,167.21,0
9.46,-122.97,-93.78,2.93,5.78,4.35,46.17,170.22,0
27.37,-121.72,-1.23,8.42,4.71,-4.99,44.71,172.12,0
27.37,-121.68,-1.25,8.42,4.71,-4.99,45.69,168.52,0
27.37,-121.65,-1.26,8.42,4.71,-4.99,44.0,172.77,0
27.38,-121.75,-1.28,8.42,4.71,-4.98,50.1,172.45,0
27.38,-121.71,-1.29,8.42,4.71,-4.98,50.23,172.05,0
27.38,-121.68,-1.31,8.42,4.71,-4.98,47.92,171.75,0
27.38,-121.65,-1.32,8.42,4.71,-4.99,47.2,170.37,0
27.38,-121.61,-1.34,8.42,4.71,-4.99,33.66,171.16,0
27.38,-121.58,-1.35,8.42,4.71,-4.99,36.08,170.25,0
27.38,-121.54,-1.36,8.42,4.71,-4.99,36.24,169.96,0
12.3,-123.95,-31.66,5.87,4.09,-4.07,36.49,170.12,0
12.3,-123.92,-31.65,5.87,4.09,-4.08,36.36,169.82,0
12.3,-123.88,-31.65,5.87,4.09,-4.08,36.24,169.53,0
12.3,-123.84,-31.65,5.87,4.09,-4.08,36.19,169.66,0
12.35,-123.66,-31.73,5.85,4.08,-4.07,36.08,169.36,0
12.3,-123.77,-31.64,5.87,4.09,-4.09,35.98,168.49,0
12.3,-123.74,-31.64,5.87,4.09,-4.09,38.28,167.27,0
12.3,-123.7,-31.63,5.87,4.09,-4.09,38.18,165.63,0
12.3,-123.66,-31.63,5.87,4.09,-4.1,38.15,162.75,0
12.3,-123.63,-31.63,5.87,4.09,-4.1,38.06,161.53,0
7.28,-104.53,-17.55,5.46,2.29,-5.08,37.98,160.43,0
7.3,-104.63,-17.61,5.44,2.29,-5.07,38.19,157.46,0
