Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
90.47,-2.52,-2.4,7.75,0.22,0.15,165.84,2.69,0
88.03,-2.52,-2.34,7.66,0.14,0.15,169.86,2.68,0
82.26,-2.79,-1.74,7.1,-0.54,0.14,170.64,2.66,0
80.08,-2.77,-1.74,7.08,-0.54,0.13,170.73,2.65,0
79.25,1.11,-4.4,1.68,0.43,0.03,169.33,2.65,0
77.72,1.12,-4.39,1.69,0.44,0.03,168.52,2.64,0
77.56,1.13,-4.39,1.7,0.46,0.03,167.36,2.64,0
71.99,1.14,-4.38,1.71,0.48,0.03,167.06,2.62,0
70.22,1.6,-2.94,1.28,-0.94,0.02,166.38,2.61,0
64.44,1.15,-1.67,1.75,-2.19,0.03,165.34,2.58,0
62.66,0.65,-2.09,1.77,-1.56,0.03,165.09,2.57,0
60.53,-0.1,-2.73,1.79,-0.63,0.03,166.47,2.56,0
98.46,-0.09,-2.73,1.81,-0.61,0.04,166.29,2.72,0
98.08,-0.09,-2.73,1.81,-0.6,0.04,165.44,2.72,0
97.67,-1.62,-0.05,10.25,-3.07,0.21,168.18,2.72,0
97.82,-1.64,-0.05,10.27,-3.04,0.21,166.86,2.73,0
97.73,-1.64,-0.04,10.29,-3.02,0.21,168.24,2.74,0
97.38,-1.65,-0.04,10.31,-2.99,0.21,164.74,2.75,0
98.07,-0.17,-3.12,7.68,0.54,0.15,164.47,2.78,0
97.76,0.87,-2.99,7.06,3.27,0.14,167.56,2.79,0
97.5,0.85,-2.99,7.09,3.33,0.14,166.19,2.81,0
97.15,0.33,-3.83,7.6,4.24,0.15,166.45,2.82,0
96.9,0.3,-3.82,7.63,4.3,0.15,166.72,2.83,0
97.33,0.28,-3.82,7.64,4.36,0.15,162.73,2.85,0
96.99,-2.2,0.24,10.11,0.37,0.2,159.12,2.86,0
96.2,-2.25,0.23,10.15,0.47,0.2,169.98,2.85,0
95.9,-2.32,0.22,10.22,0.56,0.2,158.68,2.85,0
95.63,-2.37,0.21,10.26,0.66,0.21,310.7,2.85,0
94.81,-2.67,1.44,10.55,-0.51,0.21,318.78,2.84,0
90.77,-3.3,4.35,11.18,-3.36,0.22,323.07,2.82,0
86.18,-3.31,4.35,11.18,-3.32,0.22,164.91,2.74,0
80.91,-3.32,4.35,11.19,-3.28,0.21,165.92,2.66,0
72.5,-3.34,4.35,12.52,-3.04,0.23,162.66,2.62,0
67.33,-3.35,4.35,12.52,-3.0,0.22,163.3,2.6,0
63.79,-0.69,-1.82,9.86,3.19,0.17,7115.28,2.58,0
60.92,-0.68,-1.82,9.85,3.2,0.17,7137.92,2.56,0
58.59,-0.68,-1.82,9.85,3.2,0.16,163.75,2.55,0
56.68,-0.68,-1.82,9.85,3.2,0.16,161.99,2.54,0
54.66,-0.68,-1.82,9.84,3.21,0.16,163.38,2.53,0
53.52,-0.68,-1.82,9.84,3.21,0.16,163.25,2.52,0
52.24,-0.68,-1.82,9.84,3.22,0.15,163.1,2.52,0
51.11,-0.67,-1.82,9.84,3.22,0.15,162.97,2.51,0
49.99,-0.67,-1.82,9.83,3.23,0.15,162.87,2.5,0
48.82,-0.67,-1.83,9.83,3.23,0.15,162.77,2.49,0
47.69,9.01,1.44,0.0,0.0,0.0,162.7,2.49,0
47.45,-1.22,-6.77,8.66,1.51,0.12,162.52,2.48,0
46.4,-9.1,-0.51,5.8,6.57,0.09,162.34,2.48,0
48.05,-9.04,1.14,6.91,5.44,0.1,162.17,2.49,0
51.85,-9.03,1.14,6.91,5.46,0.11,166.39,2.51,0
52.84,-9.02,1.14,6.91,5.48,0.11,241.17,2.52,0
53.12,-9.02,1.14,6.91,5.5,0.12,214.82,2.52,0
52.36,-9.0,1.14,6.91,5.52,0.11,233.02,2.52,0
52.25,-9.0,1.14,6.9,5.53,0.11,229.91,2.52,0
63.29,-8.98,1.14,6.9,5.55,0.12,162.24,2.64,0
58.41,-9.15,0.46,10.79,4.81,0.18,215.54,2.56,0
49.12,-3.25,-4.78,2.89,0.48,0.04,213.54,2.5,0
48.51,-3.24,-4.78,2.89,0.48,0.04,160.08,2.49,0
48.57,-3.23,-4.79,2.89,0.48,0.04,152.68,2.49,0
47.68,-3.2,-4.8,2.91,0.48,0.04,154.99,2.49,0
47.42,-3.19,-4.81,2.91,0.48,0.04,161.9,2.48,0
48.19,-3.19,-4.82,2.89,0.48,0.04,165.4,2.49,0
47.57,-3.17,-4.83,2.89,0.48,0.04,166.73,2.49,0
47.35,-3.16,-4.84,2.89,0.48,0.04,167.21,2.48,0
46.17,-3.15,-4.85,2.89,0.48,0.04,170.22,2.48,0
44.71,-2.47,-4.0,7.48,3.87,0.11,172.12,2.47,0
45.69,-2.47,-4.01,7.48,3.87,0.11,168.52,2.47,0
44.0,-2.47,-4.01,7.48,3.87,0.11,172.77,2.46,0
