Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
56.24,-3.03,-4.19,13.1,4.01,0.21,130.19,2.32,1
6.21,-2.62,-0.12,4.07,-0.32,0.02,593.86,1.36,1
86.45,-3.97,-4.68,13.34,8.99,0.26,107.03,2.49,1
7.14,-2.04,1.5,3.2,-2.8,0.02,712.09,1.38,1
55.1,-1.26,-1.47,10.33,-0.43,0.17,6721.5,2.53,1
47.43,-1.77,-4.49,6.23,5.52,0.1,168.52,2.49,1
85.36,-1.46,-1.23,9.96,-2.24,0.19,7137.92,2.81,1
44.84,-3.01,-0.27,8.11,-12.82,0.11,510.36,2.06,1
0.63,-2.36,-0.59,11.44,1.31,0.02,374.2,0.83,1
42.89,-1.55,-0.27,9.48,-0.39,0.14,175.65,2.38,1
56.24,-3.03,-4.19,13.1,4.01,0.21,130.19,2.32,1
20.91,-2.04,-1.98,11.5,4.44,0.11,296.67,1.91,1
74.34,-4.68,-1.4,9.64,-9.6,0.18,146.54,2.33,1
43.46,-4.43,-3.6,3.18,-0.58,0.05,173.26,2.46,1
96.26,1.72,-4.16,2.05,0.96,0.04,177.89,2.71,1
96.26,1.72,-4.16,2.05,0.96,0.04,177.89,2.71,1
96.33,1.73,-4.16,2.03,0.96,0.04,177.89,2.71,1
3.72,-0.85,-0.1,9.82,-0.05,0.03,260.95,1.42,1
94.75,-2.71,1.44,10.58,-0.51,0.21,318.78,2.85,1
65.16,-2.94,-1.74,11.45,-1.23,0.2,1311.23,2.49,1
65.26,-2.9,-3.81,6.15,2.22,0.11,996.86,2.57,1
49.49,-2.25,-5.43,2.06,1.13,0.03,162.02,2.5,1
49.49,-2.25,-5.43,2.06,1.13,0.03,162.02,2.5,1
18.62,-2.27,0.76,-0.44,-4.69,0.0,1635.02,1.61,1
7.72,-2.05,-1.35,11.84,6.05,0.07,1854.88,1.56,1
11.92,-1.19,-2.82,10.15,14.74,0.08,238.61,1.78,1
17.27,-2.38,-1.86,16.68,7.69,0.15,391.28,1.91,1
35.36,-2.84,1.41,10.61,-2.07,0.14,246.18,2.34,1
51.31,-4.19,0.55,8.89,-2.96,0.14,138.01,2.25,1
51.31,-4.05,-1.2,9.34,0.91,0.15,138.01,2.25,1
48.28,-2.55,1.54,16.09,-1.47,0.24,161.83,2.38,1
9.76,-2.04,-1.9,11.81,4.84,0.08,329.77,1.67,1
53.31,-4.04,-1.24,12.92,3.15,0.2,132.39,2.11,1
87.62,-2.85,3.84,10.51,-4.11,0.2,422.34,2.8,1
60.13,-0.5,-1.88,9.47,4.2,0.15,169.42,2.56,1
25.16,-0.69,2.17,-2.86,-23.61,0.0,738.16,2.06,1
26.52,-1.58,1.63,7.96,-22.4,0.09,738.16,2.11,1
26.52,-1.58,1.63,7.96,-22.4,0.09,738.16,2.11,1
32.41,-1.17,1.94,2.65,-23.58,0.03,738.16,2.3,1
56.05,-3.0,-4.19,13.11,4.01,0.21,130.19,2.32,1
50.26,-1.48,0.14,10.0,-2.43,0.15,140.47,2.34,1
58.65,-2.01,-3.15,11.78,6.56,0.19,126.27,2.41,1
74.34,-2.34,-4.27,13.57,-0.1,0.25,146.54,2.33,1
54.46,-9.04,1.14,6.88,5.5,0.12,214.82,2.53,1
0.04,-2.27,1.32,7.21,-1.8,0.01,284.09,0.22,1
34.74,-1.86,-4.49,6.18,5.52,0.08,167.49,2.39,1
48.83,2.21,-4.01,5.08,8.48,0.08,899.77,2.4,1
52.35,-4.19,0.53,13.05,-1.74,0.21,122.92,2.15,1
50.41,-1.47,0.15,9.2,-2.93,0.14,138.36,2.33,1
57.68,-2.78,-2.51,13.03,3.39,0.21,126.8,2.39,1
55.85,-4.02,-1.27,12.02,2.36,0.19,132.31,2.24,1
25.62,-2.03,-1.99,11.18,4.27,0.12,266.51,1.93,1
21.06,-2.03,-1.97,11.54,4.55,0.11,320.76,1.94,1
43.08,-1.39,-2.65,11.74,4.02,0.17,494.27,2.05,1
33.53,-0.43,-3.86,15.86,-4.67,0.2,1470.93,2.28,1
5.69,-2.35,-0.77,12.52,2.32,0.07,460.34,1.48,1
4.1,-2.01,-1.39,9.6,4.73,0.04,547.68,1.28,1
11.92,-3.32,2.29,9.75,-7.67,0.07,212.64,1.8,1
11.33,-0.76,0.53,6.72,-6.84,0.05,252.13,1.68,1
9.31,-2.12,1.18,15.02,-19.45,0.1,461.56,1.65,1
0.73,-2.25,1.32,7.11,-1.8,0.01,284.09,1.03,1
50.19,2.23,-4.01,5.16,8.48,0.08,924.2,2.43,1
39.85,2.12,-4.0,7.33,9.42,0.11,996.51,2.26,1
28.12,-1.27,-3.13,9.09,7.31,0.1,1142.26,2.29,1
40.61,-0.04,-0.25,8.73,4.03,0.13,1349.43,2.35,1
57.54,-0.34,0.34,2.4,-9.35,0.03,498.0,2.21,1
13.4,-0.7,2.36,-4.84,-24.13,0.0,290.73,1.75,1
46.73,-0.09,-0.26,6.6,6.87,0.1,1355.83,2.38,1
27.46,-1.87,-1.33,23.45,2.26,0.28,290.73,2.06,1
45.95,-0.06,-0.26,6.57,6.87,0.1,1355.83,2.38,1
28.78,-1.85,-1.33,23.2,2.26,0.29,290.73,2.09,1
45.21,-0.05,-0.26,6.56,6.87,0.1,1355.83,2.39,1
30.08,-1.83,-1.33,23.03,2.26,0.29,290.73,2.13,1
45.83,-0.03,-0.26,6.54,6.87,0.1,1355.83,2.38,1
31.02,-1.82,-1.33,22.86,2.26,0.29,290.73,2.18,1
45.83,-0.04,-0.26,6.56,6.87,0.1,1355.83,2.38,1
31.37,-1.83,-1.33,22.95,2.26,0.29,290.73,2.19,1
44.03,-0.06,-0.25,8.35,4.42,0.13,1355.83,2.38,1
48.77,-1.77,-1.33,22.35,2.26,0.36,290.73,2.42,1
48.28,-2.95,0.37,15.31,5.21,0.23,161.83,2.38,1
37.08,-2.65,1.7,10.19,-3.09,0.14,262.32,2.35,1
