Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
101.48,50.92,-3.35,13.94,-4.91,14.68,162.99,2.73,1
93.38,15.86,3.44,0.84,1.01,10.87,159.58,2.7,1
104.68,53.87,-3.76,5.35,-5.67,12.88,161.07,2.74,1
101.32,54.94,-3.45,11.98,-8.88,21.66,160.75,2.73,1
72.42,38.73,-3.38,5.28,-9.95,20.73,1394.37,2.63,1
3.04,38.73,-3.32,2.6,-15.12,17.57,1307.62,1.73,1
0.95,38.73,-4.62,1.03,-18.73,-0.0,1345.89,1.03,1
72.42,38.93,-3.56,7.49,-8.44,20.73,1394.37,2.63,1
3.04,38.93,-3.52,6.06,-14.09,17.57,1307.62,1.73,1
0.95,38.93,-4.6,5.36,-17.97,-0.0,1345.89,1.03,1
72.42,38.93,-3.56,7.49,-8.44,20.73,1394.37,2.63,1
3.04,38.93,-3.52,6.06,-14.09,17.57,1307.62,1.73,1
0.95,38.93,-4.6,5.36,-17.97,-0.0,1345.89,1.03,1
2.64,37.95,-3.39,5.14,-9.95,20.73,1394.37,1.42,1
3.99,37.75,-3.34,2.58,-15.12,17.57,1307.62,1.47,1
3.02,37.75,-4.66,1.09,-18.73,-0.0,199.92,1.35,1
44.86,0.28,-2.34,7.52,3.87,0.0,168.52,2.47,1
46.81,0.28,-3.07,3.15,0.48,1.23,165.4,2.48,1
49.06,0.28,-3.14,3.15,0.48,2.92,160.91,2.5,1
56.15,18.18,-4.47,13.61,-1.64,32.95,129.42,2.35,1
54.18,18.18,-4.19,13.07,-2.38,20.38,134.23,2.12,1
51.2,18.18,-1.47,8.9,-2.96,9.66,132.49,2.28,1
35.98,2.37,-2.27,5.74,1.25,0.0,168.49,2.43,1
36.49,2.18,-2.27,5.71,1.25,0.0,170.12,2.4,1
47.92,2.37,-2.48,7.47,3.87,0.0,171.75,2.56,1
30.92,8.33,-1.8,6.02,2.58,0.0,167.51,2.35,1
60.68,8.33,-1.87,6.18,5.52,0.0,167.21,2.53,1
43.58,8.13,-1.87,6.19,5.52,0.0,172.12,2.46,1
45.38,8.13,-2.27,1.96,1.13,12.44,757.05,2.47,1
88.47,27.56,-2.62,16.54,3.74,100.42,82.92,2.68,1
94.43,29.26,-2.82,13.98,9.53,52.03,96.88,2.7,1
90.1,29.26,-4.02,13.67,8.47,44.89,99.24,2.66,1
84.57,29.26,-3.99,13.7,8.46,76.06,107.03,2.48,1
91.25,27.37,-2.62,16.52,3.74,100.42,82.92,2.69,1
94.43,29.26,-2.82,13.98,9.53,52.03,96.88,2.7,1
90.1,29.26,-4.02,13.67,8.47,44.89,99.24,2.66,1
84.57,29.26,-3.99,13.7,8.46,76.06,107.03,2.48,1
85.89,28.52,-3.34,17.03,-0.59,100.42,87.95,2.67,1
95.37,30.21,-4.05,16.0,5.66,52.03,96.88,2.71,1
88.69,30.21,-5.01,15.38,4.73,44.89,99.24,2.63,1
83.08,30.21,-4.96,15.4,4.7,25.04,107.03,2.48,1
45.64,16.79,-9.12,5.76,6.57,1.4,162.34,2.47,1
53.74,6.43,-1.26,10.33,-0.43,1.87,6407.19,2.52,1
66.85,6.62,-1.26,10.33,-0.45,2.15,7145.63,2.59,1
83.58,7.64,-1.42,9.16,-6.97,2.81,8462.35,2.7,1
94.32,8.34,-1.59,9.1,-3.69,3.67,162.38,2.84,1
52.33,16.04,-4.21,13.13,-0.36,41.37,122.92,2.15,1
51.01,16.04,-1.53,9.37,-1.95,22.9,138.36,2.32,1
35.98,16.04,-2.85,12.66,-1.14,35.05,242.79,2.37,1
24.17,16.34,-2.36,9.43,-2.81,13.66,262.91,1.91,1
11.72,17.03,-2.24,9.07,-2.6,19.36,272.57,1.79,1
78.37,7.57,-2.56,11.28,-1.05,25.77,116.45,2.46,0
55.33,44.91,-1.37,3.51,-0.97,1.77,107.77,2.03,0
82.94,0.1,-3.54,11.81,-3.54,41.05,145.61,2.7,0
91.16,18.94,-3.5,11.48,10.95,56.19,83.32,2.69,0
1.35,0.23,-2.84,-1.5,-3.46,21.46,576.36,1.0,0
66.18,23.54,-3.09,8.52,0.6,39.41,206.88,2.7,0
82.2,27.04,-1.45,6.09,-8.6,37.78,114.54,2.66,0
81.3,12.17,-2.36,10.27,2.51,95.5,97.01,2.44,0
90.33,18.18,-5.39,14.98,5.31,84.32,76.82,2.65,0
82.06,12.17,-2.31,10.26,2.5,93.1,95.27,2.48,0
59.32,1.45,0.52,7.35,5.65,27.21,220.67,2.57,0
86.62,18.18,-5.59,12.78,-4.32,110.81,106.82,2.49,0
85.28,1.19,-1.82,8.9,4.4,20.77,112.51,2.67,0
83.6,0.29,-3.53,11.82,-3.54,41.05,145.61,2.72,0
