Seafloor Age,Distance Along Trench,Trench Absolute Orthogonal,Convergence Orthogonal,Convergence Parallel,decompacted sediment thickness,sediment thickness,ocean crust carbon percent,Label
38.35,2.37,-0.57,5.41,0.69,0.0,156.18,2.53,0
38.46,2.37,-0.57,5.41,0.69,0.0,155.21,2.51,0
38.57,2.37,-0.57,5.41,0.69,0.0,154.06,2.49,0
38.69,2.37,-0.57,5.41,0.69,0.0,153.1,2.46,0
38.81,2.37,-0.57,5.41,0.69,0.0,152.27,2.42,0
38.8,2.37,-0.57,5.41,0.69,0.0,149.45,2.38,0
38.9,2.37,-0.57,5.41,0.69,0.0,149.2,2.34,0
39.0,2.37,-0.57,5.41,0.69,0.0,148.72,2.28,0
2.11,11.9,-2.05,4.31,0.76,123.61,4724.53,0.7,0
1.89,13.01,-2.06,4.32,0.74,132.94,5370.23,0.72,0
1.64,13.47,-2.06,4.34,0.73,123.68,5156.74,0.72,0
3.34,13.95,-2.07,4.35,0.72,122.46,5014.21,0.95,0
3.1,14.52,-2.07,4.36,0.7,121.23,1280.09,0.96,0
2.88,15.12,-2.08,4.38,0.69,113.85,583.4,0.96,0
2.58,13.83,-2.08,1.19,-4.02,116.19,1476.4,0.96,0
2.24,15.65,-2.09,1.19,-3.98,115.2,1468.88,0.95,0
1.87,15.62,-2.09,4.41,0.65,111.6,946.56,0.92,0
4.16,16.84,-2.1,4.42,0.64,111.22,1746.06,1.17,0
4.26,16.87,-2.1,4.43,0.49,97.23,1050.74,1.2,0
4.77,16.87,-2.28,4.38,-0.74,95.84,955.86,1.25,0
4.34,16.87,-2.29,4.39,-0.75,102.03,1042.36,1.23,0
3.89,16.87,-2.29,4.39,-0.76,98.89,985.76,1.21,0
3.44,16.87,-2.3,4.4,-0.78,89.7,975.77,1.2,0
6.11,16.87,-2.31,4.41,-0.79,93.43,960.73,1.34,0
5.59,16.87,-2.31,4.41,-0.8,88.69,942.67,1.32,0
5.16,16.85,-2.32,4.42,-0.81,87.56,1096.44,1.33,0
5.78,16.87,-2.32,0.06,-3.54,86.86,1068.36,1.34,0
11.44,15.57,-2.02,3.68,-2.5,36.21,1050.19,1.53,0
